# VAMPIRE TEST REPORT - PORTFOLIO
# Strategy: fixed axioms portfolio, first success wins
# Generated: 2025-12-30 20:42:17
# Timeout: 61s per attempt
# Axioms order: DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff, DateArithmetic_Best1_PORTFOLIO.tff, DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff
# Raw logs dir: raw_logs
##############################################################################################################
Test                           |     Time | Status               | Result    | Trace
test_accel_quad_r |   1813 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1813ms
test_accel_year_r |   1810 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1810ms
test_accel_leap_skip |  14031 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14031ms
test_accel_back_century |   3537 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@3537ms
test_accel_back_decade |   1184 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60973ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60978ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@1184ms
test_accel_mix_leap |   1176 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60985ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1176ms
test_accel_mix_norm |    375 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60976ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@375ms
test_cent_100_fwd |   1801 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1801ms
test_cent_400_minus_1 |   1903 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60977ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1903ms
test_cent_100_plus_1 |    373 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@373ms
test_cent_4_plus_1 |   1948 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60972ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1948ms
test_cent_4_minus_1 |   5052 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60982ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@5052ms
test_wk_oct31_2024 |     34 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@34ms
test_nov_plus_50 |   1950 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1950ms
test_april_minus_10 |   1946 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1946ms
test_dec_plus_30 |   1177 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1177ms
test_may_plus_75 |   1933 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1933ms
test_wk_dec25_2024 |     58 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@58ms
test_feb_minus_30 |   1952 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1952ms
test_sch_1st_sun_may |   2027 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60976ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@2027ms
test_sch_1st_thu_may |  44490 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@44490ms
test_sch_4th_sat_nov |   2030 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@2030ms
test_sch_4th_mon_nov |  14031 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14031ms
test_sch_last_mon_mar |  13973 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@13973ms
test_sch_last_thu_mar |    141 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60959ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60971ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@141ms
test_sch_last_fri_mar |    145 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60969ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60938ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@145ms
test_sch_last_sat_mar |   2013 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@2013ms
test_sch_last_sun_mar |   2061 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60980ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@2061ms
test_sch_last_mon_mar_2 |   5054 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@5054ms
test_sch_leap_1st_thu |  44487 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@44487ms
test_sch_leap_4th_thu |   2028 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60977ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@2028ms
test_sch_leap_5th_thu_end |   1831 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1831ms
test_wk_2024_jul4 |     35 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@35ms
test_wk_2025_jul4 |     37 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@37ms
test_wk_2026_jul4 |     38 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@38ms
test_wk_2027_jul4 |     48 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@48ms
test_wk_2028_jul4 |     35 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@35ms
test_wk_2029_jul4 |     42 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@42ms
test_wk_2030_jul4 |     33 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@33ms
test_wk_2031_jul4 |     38 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@38ms
test_wk_2032_jul4 |     46 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@46ms
test_wk_2033_jul4 |     45 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@45ms
test_wk_jan1_2024 |     39 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@39ms
test_wk_feb29_2024 |     41 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@41ms
test_wk_mar1_2024 |     37 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@37ms
test_wk_dec31_2024 |     33 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@33ms
test_wk_jan1_2025 |     46 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@46ms
test_wk_feb1_2025 |     88 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@88ms
test_wk_feb28_2025 |     43 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@43ms
test_wk_mar1_2025 |     42 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@42ms
test_wk_old_bce |     41 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@41ms
test_wk_far_future |     32 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@32ms
test_wk_jun15_2024 |     35 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@35ms
test_may_boundary |   1974 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1974ms
test_mar_back_leap |    398 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@398ms
test_wk_aug15_2024 |     31 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@31ms
test_june_july_boundary |   1927 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1927ms
test_oct_back_sept |   1918 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1918ms
test_wk_sept1_2024 |     39 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@39ms
test_july_plus_20 |   1952 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1952ms
test_aug_sept_boundary |   1976 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1976ms
test_sch_3rd_wed_oct |   2025 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60980ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@2025ms
test_sch_2nd_fri_dec |   1817 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1817ms
test_may_back_100 |   1947 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1947ms
test_mar_plus_200 |   1964 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1964ms
test_comb_leap_dt |     40 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@40ms
test_comb_back_dt |   1885 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1885ms
test_comb_jan_back_dt |   1887 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1887ms
test_comb_sch_1 |  15140 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60983ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60996ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@15140ms
test_comb_sch_2 |  14768 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60967ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60996ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@14768ms
test_comb_date_wk_fwd |   2149 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@2149ms
test_comb_date_wk_back |     35 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60983ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60938ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@35ms
test_comb_sch_5th_feb_fail |   2011 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@2011ms
test_comb_sch_5th_aug |   2025 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60960ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@2025ms
test_sub_1 |    396 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60986ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60947ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@396ms
test_sub_2 |   8825 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60968ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@8825ms
test_sub_3 |    379 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@379ms
test_sub_4 |    385 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@385ms
test_sub_5 |   1911 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1911ms
test_sub_6 |   1924 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1924ms
test_sub_8 |   8416 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60983ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@8416ms
test_sub_9 |   8825 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60966ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@8825ms
test_sub_10 |     36 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60955ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60948ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@36ms
test_leap_def_2024 |     24 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@24ms
test_leap_def_2025 |     32 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@32ms
test_leap_def_2000 |   1080 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60974ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1080ms
test_leap_def_1900 |    545 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60997ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@545ms
test_leap_def_1600 |    719 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60965ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@719ms
test_leap_def_2100 |    548 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60963ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@548ms
test_leap_def_2400 |   1060 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60992ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1060ms
test_leap_def_1904 |    718 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60974ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@718ms
test_leap_def_1903 |    344 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60963ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@344ms
test_leap_def_3996 |    723 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60997ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@723ms
test_leap_fwd_1 |    421 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@421ms
test_leap_fwd_2 |    387 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@387ms
test_leap_fwd_3 |   1938 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1938ms
test_leap_fwd_4 |   1955 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1955ms
test_leap_back_1 |    427 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@427ms
test_leap_back_2 |    376 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@376ms
test_leap_back_3 |    404 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@404ms
test_leap_back_4 |   1972 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1972ms
test_leap_back_5 |   1967 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1967ms
test_leap_back_6 |   1924 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1924ms
test_feb_boundary_leap_vs_nonleap |    385 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@385ms
test_fwd_M1_35 |    377 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@377ms
test_fwd_M2_35 |   1930 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1930ms
test_fwd_M3_35 |   1948 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1948ms
test_fwd_M4_35 |   1944 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1944ms
test_fwd_M5_35 |   1956 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1956ms
test_fwd_M6_35 |   1980 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1980ms
