# VAMPIRE TEST REPORT - PORTFOLIO
# Strategy: fixed axioms portfolio, first success wins
# Generated: 2025-12-30 20:42:17
# Timeout: 61s per attempt
# Axioms order: DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff, DateArithmetic_Best1_PORTFOLIO.tff, DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff
# Raw logs dir: raw_logs
##############################################################################################################
Test                           |     Time | Status               | Result    | Trace
test_back_M10_N5 |   1911 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1911ms
test_back_M11_N5 |   1911 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1911ms
test_mix_m_long_fwd |   1977 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1977ms
test_mix_m_long_back |    146 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60978ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60994ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@146ms
test_mix_m_short_fwd |   1926 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1926ms
test_mix_m_short_back |    138 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60965ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@61000ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@138ms
test_mix_yr_fwd_1 |    422 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@422ms
test_mix_yr_fwd_2 |   1957 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1957ms
test_mix_yr_fwd_3 |   1790 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1790ms
test_mix_yr_back_1 |   1789 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1789ms
test_mix_yr_back_2 |   8822 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60964ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@8822ms
test_mix_yr_back_3 |   8821 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60966ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@8821ms
test_quad_fwd_leap_1 |   1169 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1169ms
test_quad_fwd_leap_2 |   1169 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1169ms
test_quad_fwd_norm_1 |  14327 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14327ms
test_quad_fwd_norm_2 |   1171 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60983ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1171ms
test_quad_fwd_norm_3 |  14273 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14273ms
test_quad_back_leap_1 |     32 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60975ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@61034ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@32ms
test_quad_back_leap_2 |     34 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60967ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60976ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@34ms
test_quad_back_norm_1 |    396 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60967ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60948ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@396ms
test_quad_back_norm_2 |    389 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60977ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60989ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@389ms
test_quad_back_norm_3 |    389 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60978ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60933ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@389ms
test_decade_fwd_1 |   1793 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1793ms
test_decade_fwd_2 |  39155 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@39155ms
test_decade_fwd_3 |   1809 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1809ms
test_decade_back_1 |   1176 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60977ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60925ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@1176ms
test_decade_back_2 |   1169 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60988ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60923ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@1169ms
test_decade_back_3 |   1171 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60958ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60991ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@1171ms
test_decade_mix_1 |  14263 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14263ms
test_decade_mix_2 |     34 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60981ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60970ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@34ms
test_decade_mix_3 |    149 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60933ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60933ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@149ms
test_decade_mix_4 |     37 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60958ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60949ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@37ms
test_trap_calc_2 |   1957 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1957ms
test_trap_calc_3 |   1958 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1958ms
test_trap_calc_4 |    141 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60994ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60942ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@141ms
test_trap_wk |  39360 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@39360ms
--------------------------------------------------------------------------------------------------------------

# SUMMARY: 200/200 passed (1:17:48.922588)
